#,Bit Range,Private Key Range,Private Key (HEX),Bitcoin Address,% of the Range,Solved,Solver
59,258...259-1,400000000000000...7ffffffffffffff,,1HAX2n9Uruu9YDt4cqRgYcvtGvZj1rbUyt,,,
59,258...259-1,400000000000000...7ffffffffffffff,,1HAX2n9Uruu9YDt4cqRgYcvtGvZj1rbUyt,,,
59,258...259-1,400000000000000...7ffffffffffffff,,1HAX2n9Uruu9YDt4cqRgYcvtGvZj1rbUyt,,,
59,258...259-1,400000000000000...7ffffffffffffff,,1HAX2n9Uruu9YDt4cqRgYcvtGvZj1rbUyt,,,
6,25...26-1,20...3f,,1PitScNLyp2HCygzadCh7FveTnfmpPbfp8,,,
6,25...26-1,20...3f,,1PitScNLyp2HCygzadCh7FveTnfmpPbfp8,,,
6,25...26-1,20...3f,,1PitScNLyp2HCygzadCh7FveTnfmpPbfp8,,,
6,25...26-1,20...3f,,1PitScNLyp2HCygzadCh7FveTnfmpPbfp8,,,
60,259...260-1,800000000000000...fffffffffffffff,,1Kn5h2qpgw9mWE5jKpk8PP4qvvJ1QVy8su,,,
60,259...260-1,800000000000000...fffffffffffffff,,1Kn5h2qpgw9mWE5jKpk8PP4qvvJ1QVy8su,,,
60,259...260-1,800000000000000...fffffffffffffff,,1Kn5h2qpgw9mWE5jKpk8PP4qvvJ1QVy8su,,,
60,259...260-1,800000000000000...fffffffffffffff,,1Kn5h2qpgw9mWE5jKpk8PP4qvvJ1QVy8su,,,
61,260...261-1,1000000000000000...1fffffffffffffff,,1AVJKwzs9AskraJLGHAZPiaZcrpDr1U6AB,,,
61,260...261-1,1000000000000000...1fffffffffffffff,,1AVJKwzs9AskraJLGHAZPiaZcrpDr1U6AB,,,
61,260...261-1,1000000000000000...1fffffffffffffff,,1AVJKwzs9AskraJLGHAZPiaZcrpDr1U6AB,,,
61,260...261-1,1000000000000000...1fffffffffffffff,,1AVJKwzs9AskraJLGHAZPiaZcrpDr1U6AB,,,
62,261...262-1,2000000000000000...3fffffffffffffff,,1Me6EfpwZK5kQziBwBfvLiHjaPGxCKLoJi,,,
