#,Bit Range,Private Key Range,Private Key (HEX),Bitcoin Address,% of the Range,Solved,Solver
43,242...243-1,40000000000...7ffffffffff,,1PiFuqGpG8yGM5v6rNHWS3TjsG6awgEGA1,,,
43,242...243-1,40000000000...7ffffffffff,,1PiFuqGpG8yGM5v6rNHWS3TjsG6awgEGA1,,,
44,243...244-1,80000000000...fffffffffff,,1CkR2uS7LmFwc3T2jV8C1BhWb5mQaoxedF,,,
44,243...244-1,80000000000...fffffffffff,,1CkR2uS7LmFwc3T2jV8C1BhWb5mQaoxedF,,,
44,243...244-1,80000000000...fffffffffff,,1CkR2uS7LmFwc3T2jV8C1BhWb5mQaoxedF,,,
44,243...244-1,80000000000...fffffffffff,,1CkR2uS7LmFwc3T2jV8C1BhWb5mQaoxedF,,,
45,244...245-1,100000000000...1fffffffffff,,1NtiLNGegHWE3Mp9g2JPkgx6wUg4TW7bbk,,,
45,244...245-1,100000000000...1fffffffffff,,1NtiLNGegHWE3Mp9g2JPkgx6wUg4TW7bbk,,,
45,244...245-1,100000000000...1fffffffffff,,1NtiLNGegHWE3Mp9g2JPkgx6wUg4TW7bbk,,,
45,244...245-1,100000000000...1fffffffffff,,1NtiLNGegHWE3Mp9g2JPkgx6wUg4TW7bbk,,,
46,245...246-1,200000000000...3fffffffffff,,1F3JRMWudBaj48EhwcHDdpeuy2jwACNxjP,,,
46,245...246-1,200000000000...3fffffffffff,,1F3JRMWudBaj48EhwcHDdpeuy2jwACNxjP,,,
46,245...246-1,200000000000...3fffffffffff,,1F3JRMWudBaj48EhwcHDdpeuy2jwACNxjP,,,
